platform,brand,text,category,sentiment,fake
Twitter,Samsung,Samsung battery draining fast,Product,Negative,0
Twitter,Apple,I love the new iPhone camera,Feedback,Positive,0
Twitter,Jio,Jio internet very slow today,Service,Negative,0
Twitter,Airtel,Airtel network problem in my area,Service,Negative,1
Amazon,Samsung,This phone is amazing great display,Feedback,Positive,0
Amazon,OnePlus,Battery problem after update,Product,Negative,0
Amazon,Apple,Excellent product worth buying,Feedback,Positive,1
Amazon,Realme,Phone overheating while charging,Product,Negative,0
Flipkart,Realme,Phone heating issue while gaming,Product,Negative,0
Flipkart,Vivo,Camera quality is very good,Feedback,Positive,0
Flipkart,Samsung,Delivery was fast and packaging good,Delivery,Positive,0
Flipkart,Apple,Product price too high for features,Product,Negative,1
PlayStore,Jio,Jio app crashes frequently,Service,Negative,0
PlayStore,Google,Great update very smooth,Feedback,Positive,0
PlayStore,Airtel,App login issue after update,Service,Negative,0
PlayStore,Samsung,Samsung health app works perfectly,Feedback,Positive,0
YouTube,Samsung,This phone review is amazing,Feedback,Positive,0
YouTube,Apple,Overpriced phone not worth it,Product,Negative,0
YouTube,Realme,Great performance for gaming,Feedback,Positive,0
YouTube,Vivo,Camera stabilization is impressive,Feedback,Positive,1
